,Compound,Negative,Neutral,Positive,Tweets_Ago,User_List
313,0.0,0.0,1.0,0.0,14,@FoxNews
314,0.0,0.0,1.0,0.0,15,@FoxNews
315,-0.6908,0.305,0.695,0.0,16,@FoxNews
316,0.2382,0.0,0.907,0.093,17,@FoxNews
317,0.128,0.109,0.758,0.133,18,@FoxNews
318,-0.7906,0.467,0.533,0.0,19,@FoxNews
319,-0.0015,0.097,0.806,0.097,20,@FoxNews
320,0.0,0.0,1.0,0.0,21,@FoxNews
321,0.0,0.0,1.0,0.0,22,@FoxNews
322,-0.3089,0.117,0.883,0.0,23,@FoxNews
323,0.0,0.0,1.0,0.0,24,@FoxNews
324,0.5719,0.0,0.654,0.346,25,@FoxNews
325,0.0,0.0,1.0,0.0,26,@FoxNews
326,0.4019,0.0,0.816,0.184,27,@FoxNews
327,0.0,0.0,1.0,0.0,28,@FoxNews
328,-0.0572,0.092,0.908,0.0,29,@FoxNews
329,0.0,0.0,1.0,0.0,30,@FoxNews
330,-0.5106,0.32,0.68,0.0,31,@FoxNews
331,-0.34,0.156,0.844,0.0,32,@FoxNews
332,0.5859,0.0,0.743,0.257,33,@FoxNews
333,0.0,0.0,1.0,0.0,34,@FoxNews
334,0.0,0.0,1.0,0.0,35,@FoxNews
335,-0.6908,0.305,0.695,0.0,36,@FoxNews
336,0.2382,0.0,0.907,0.093,37,@FoxNews
337,0.128,0.109,0.758,0.133,38,@FoxNews
338,-0.7906,0.467,0.533,0.0,39,@FoxNews
339,-0.0015,0.097,0.806,0.097,40,@FoxNews
340,0.0,0.0,1.0,0.0,41,@FoxNews
341,0.5106,0.0,0.798,0.202,42,@FoxNews
342,0.0,0.0,1.0,0.0,43,@FoxNews
343,0.4019,0.0,0.876,0.124,44,@FoxNews
344,0.34,0.0,0.882,0.118,45,@FoxNews
345,0.0,0.0,1.0,0.0,46,@FoxNews
346,0.0,0.0,1.0,0.0,47,@FoxNews
347,0.0,0.0,1.0,0.0,48,@FoxNews
348,0.1779,0.0,0.904,0.096,49,@FoxNews
349,0.3182,0.135,0.645,0.219,50,@FoxNews
350,0.5423,0.0,0.72,0.28,51,@FoxNews
351,-0.5423,0.16,0.739,0.101,52,@FoxNews
352,0.0,0.0,1.0,0.0,53,@FoxNews
353,0.0,0.0,1.0,0.0,54,@FoxNews
354,-0.5574,0.419,0.381,0.2,55,@FoxNews
355,0.5719,0.0,0.654,0.346,56,@FoxNews
356,0.0,0.0,1.0,0.0,57,@FoxNews
357,0.0,0.0,1.0,0.0,58,@FoxNews
358,0.0,0.0,1.0,0.0,59,@FoxNews
359,0.0,0.0,1.0,0.0,60,@FoxNews
360,-0.0572,0.06,0.94,0.0,61,@FoxNews
361,0.0,0.0,1.0,0.0,62,@FoxNews
362,-0.0516,0.098,0.812,0.09,63,@FoxNews
363,-0.3818,0.236,0.63,0.134,64,@FoxNews
364,0.0,0.0,1.0,0.0,65,@FoxNews
365,-0.6077,0.221,0.779,0.0,66,@FoxNews
366,-0.4767,0.238,0.662,0.099,67,@FoxNews
367,0.0,0.0,1.0,0.0,68,@FoxNews
368,0.0,0.0,1.0,0.0,69,@FoxNews
369,-0.34,0.211,0.789,0.0,70,@FoxNews
370,0.0,0.0,1.0,0.0,71,@FoxNews
371,0.0,0.0,1.0,0.0,72,@FoxNews
372,-0.6597,0.351,0.649,0.0,73,@FoxNews
373,-0.4588,0.341,0.476,0.183,74,@FoxNews
374,-0.5267,0.318,0.551,0.131,75,@FoxNews
375,-0.7003,0.345,0.655,0.0,76,@FoxNews
376,0.0,0.0,1.0,0.0,77,@FoxNews
377,0.2023,0.0,0.781,0.219,78,@FoxNews
378,-0.7506,0.274,0.726,0.0,79,@FoxNews
379,0.0757,0.104,0.736,0.16,80,@FoxNews
380,0.357,0.101,0.659,0.24,81,@FoxNews
381,0.0,0.0,1.0,0.0,82,@FoxNews
382,0.0,0.0,1.0,0.0,83,@FoxNews
383,0.0,0.0,1.0,0.0,84,@FoxNews
384,-0.34,0.179,0.821,0.0,85,@FoxNews
385,0.3182,0.075,0.795,0.13,86,@FoxNews
386,0.0,0.0,1.0,0.0,87,@FoxNews
387,0.357,0.101,0.659,0.24,88,@FoxNews
